                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.74883,                0.62965,                    0.2,                0.39357,                 1.0844,                 0.9776,                0.94499,                0.98528,                0.83537,                0.97885,                 0.9511,                0.98687,                0.92828,                0.62925,                 0.3001,                0.01245,                0.31999,                 1.0086,                0.07005,              0.0033278,              0.0033278
                      1,                0.65393,                0.36572,                0.08806,                0.34683,                 1.0203,                0.98235,                 0.9635,                0.98951,                0.86588,                0.98387,                0.96595,                0.99001,                 0.9413,                0.55491,                0.24655,                0.00637,                0.28855,                 0.9762,               0.040017,              0.0066281,              0.0066281
                      2,                0.64285,                 0.3274,                0.08046,                0.33454,                 1.0101,                 0.9845,                0.96971,                0.99126,                0.85418,                0.98586,                0.97148,                0.99151,                0.94322,                0.58579,                0.22733,                0.00484,                0.29193,                0.98907,              0.0099511,              0.0098955,              0.0098955
                      3,                0.63775,                0.30855,                0.07696,                0.32937,                 1.0035,                0.98439,                0.97469,                0.99212,                 0.8831,                0.98547,                0.97523,                0.99246,                0.94572,                0.52102,                0.21951,                0.00306,                0.27228,                0.96931,              0.0098515,              0.0098515,              0.0098515
                      4,                0.62232,                0.28637,                0.07546,                0.32107,                0.99499,                0.98518,                0.97766,                0.99272,                0.89001,                0.98659,                0.97837,                 0.9929,                0.94783,                0.51583,                0.21276,                0.00264,                0.26413,                0.96081,              0.0098515,              0.0098515,              0.0098515
                      5,                0.60904,                0.27592,                 0.0739,                0.31509,                0.98595,                0.98576,                0.97886,                0.99351,                0.89378,                0.98701,                0.97781,                0.99316,                0.95117,                0.50057,                0.20541,                0.00233,                0.25846,                0.95731,               0.009802,               0.009802,               0.009802
                      6,                0.60064,                0.26909,                0.07349,                0.30936,                0.98322,                0.98793,                0.98046,                0.99391,                0.90001,                 0.9881,                 0.9787,                0.99291,                 0.9511,                 0.4997,                0.21188,                0.00259,                0.25877,                0.94522,              0.0097525,              0.0097525,              0.0097525
                      7,                0.59306,                0.26331,                0.07066,                 0.3055,                0.97908,                0.99019,                0.98032,                0.99393,                 0.8328,                0.98858,                0.97886,                0.99241,                0.94744,                0.70075,                0.21665,                0.00205,                 0.3027,                 1.0205,               0.009703,               0.009703,               0.009703
                      8,                0.59119,                0.25875,                0.07272,                0.30477,                0.97523,                0.98903,                0.98282,                 0.9942,                0.89566,                0.98905,                0.98191,                 0.9938,                0.95254,                 0.5052,                0.20066,                0.00177,                0.25694,                0.94206,              0.0096535,              0.0096535,              0.0096535
                      9,                0.58429,                0.25589,                0.07034,                0.30065,                0.97206,                0.98811,                0.98408,                0.99431,                0.90686,                0.98744,                0.98255,                0.99363,                 0.9531,                0.47721,                0.19895,                0.00173,                0.24522,                0.92967,               0.009604,               0.009604,               0.009604
                     10,                0.58034,                0.25195,                0.07154,                0.29862,                0.97014,                0.98946,                0.98454,                0.99433,                 0.9018,                0.98919,                0.98414,                0.99387,                0.95468,                0.49514,                0.19461,                0.00162,                0.24739,                0.94212,              0.0095545,              0.0095545,              0.0095545
                     11,                0.57197,                0.23764,                0.06942,                0.29508,                0.96533,                0.99059,                0.98439,                0.99445,                0.90961,                0.99011,                0.98298,                0.99376,                0.95128,                0.45905,                0.19493,                0.00187,                0.24112,                 0.9299,               0.009505,               0.009505,               0.009505
                     12,                0.56856,                0.24322,                0.06914,                0.29298,                0.96458,                0.98906,                0.98539,                0.99435,                0.90834,                0.98842,                0.98506,                0.99389,                0.95248,                0.45628,                0.18963,                0.00161,                0.23619,                0.93355,              0.0094555,              0.0094555,              0.0094555
                     13,                0.56448,                0.23717,                0.06919,                0.29159,                0.96059,                0.98897,                0.98558,                0.99448,                0.91505,                0.98726,                0.98356,                0.99328,                 0.9565,                 0.4581,                0.18678,                0.00144,                0.23747,                0.93619,               0.009406,               0.009406,               0.009406
                     14,                0.56164,                0.23187,                0.06998,                0.29044,                0.95953,                 0.9906,                 0.9848,                0.99445,                0.91666,                0.99012,                 0.9845,                  0.994,                0.95741,                0.45078,                0.18463,                0.00113,                0.23267,                0.92935,              0.0093565,              0.0093565,              0.0093565
                     15,                0.55771,                0.23237,                0.06871,                0.28848,                0.95614,                 0.9919,                0.98344,                0.99448,                0.89546,                0.99014,                0.98144,                0.99388,                 0.9595,                0.54111,                0.18622,                0.00162,                0.25446,                0.94663,               0.009307,               0.009307,               0.009307
                     16,                0.55509,                 0.2261,                0.06735,                0.28766,                0.96002,                0.99005,                0.98676,                 0.9946,                0.91656,                0.98881,                0.98299,                0.99362,                0.95846,                0.45044,                0.17937,                0.00105,                0.23206,                0.91994,              0.0092575,              0.0092575,              0.0092575
                     17,                 0.5533,                0.22814,                0.06605,                0.28577,                 0.9537,                0.99183,                  0.987,                0.99462,                0.91546,                0.98988,                0.98361,                0.99383,                0.95883,                0.45714,                0.18206,                0.00132,                0.23437,                0.91783,               0.009208,               0.009208,               0.009208
                     18,                0.55161,                0.22775,                0.06926,                0.28608,                0.95487,                0.99012,                0.98577,                0.99444,                0.91998,                0.98849,                 0.9845,                0.99391,                0.95907,                0.43323,                0.17584,                0.00115,                0.22501,                0.91162,              0.0091585,              0.0091585,              0.0091585
                     19,                0.54713,                0.22222,                0.06721,                0.28318,                0.94962,                0.99131,                0.98601,                 0.9946,                 0.9247,                0.99035,                0.98377,                0.99397,                0.96095,                0.42814,                0.17037,                  0.001,                0.22143,                0.90868,               0.009109,               0.009109,               0.009109
                     20,                0.54141,                0.22011,                0.06674,                0.28175,                0.94679,                0.99038,                0.98703,                0.99457,                0.92486,                0.99007,                0.98347,                0.99388,                0.96031,                0.43247,                0.17297,                0.00087,                0.22303,                0.92429,              0.0090595,              0.0090595,              0.0090595
                     21,                 0.5394,                0.21555,                0.06726,                0.27976,                0.94691,                0.99196,                0.98581,                0.99459,                0.92117,                0.99034,                0.98225,                0.99313,                0.95863,                0.42375,                0.17086,                0.00122,                0.22017,                0.90831,                0.00901,                0.00901,                0.00901
                     22,                0.53449,                0.21771,                0.06778,                0.27799,                0.94539,                0.99196,                0.98614,                0.99461,                  0.926,                 0.9909,                0.98379,                0.99389,                0.96078,                0.41798,                0.16836,                0.00105,                0.21828,                0.90838,              0.0089605,              0.0089605,              0.0089605
                     23,                0.53104,                0.21043,                0.06488,                0.27659,                0.94083,                 0.9921,                0.98661,                0.99468,                0.92343,                0.99054,                0.98412,                0.99397,                0.95832,                 0.4183,                0.17192,                0.00107,                0.21524,                0.90252,               0.008911,               0.008911,               0.008911
                     24,                0.53193,                 0.2107,                0.06793,                0.27659,                0.94318,                0.99186,                 0.9868,                0.99464,                0.92719,                0.98977,                0.98478,                0.99372,                0.96033,                0.41461,                0.16842,                0.00098,                0.21438,                0.90662,              0.0088615,              0.0088615,              0.0088615
                     25,                0.52804,                0.21091,                0.06635,                0.27502,                0.93944,                0.99164,                0.98664,                0.99456,                0.92945,                0.99097,                0.98426,                0.99406,                0.95986,                0.40825,                0.16914,                0.00129,                0.21296,                0.89851,               0.008812,               0.008812,               0.008812
                     26,                0.52658,                0.20603,                0.06439,                0.27448,                0.94018,                0.99202,                0.98636,                0.99467,                0.92891,                0.98988,                0.98375,                0.99397,                0.96239,                0.40806,                0.16528,                0.00092,                0.21202,                0.90179,              0.0087625,              0.0087625,              0.0087625
                     27,                0.52525,                 0.2097,                 0.0668,                0.27371,                0.93862,                0.99145,                0.98606,                0.99461,                0.93003,                0.99045,                0.98369,                0.99411,                0.96013,                0.40492,                0.16955,                0.00083,                0.20858,                0.90548,               0.008713,               0.008713,               0.008713
                     28,                0.52353,                0.20936,                0.06461,                 0.2729,                0.93664,                0.99235,                0.98706,                0.99465,                 0.9289,                0.99143,                0.98418,                0.99395,                0.96051,                0.40213,                0.16632,                0.00107,                0.20972,                0.90023,              0.0086635,              0.0086635,              0.0086635
                     29,                0.52154,                0.20625,                0.06683,                0.27273,                0.93824,                0.99243,                0.98779,                0.99467,                0.93042,                 0.9907,                0.98573,                0.99434,                0.96177,                0.40144,                0.16509,                0.00098,                0.20793,                0.89672,               0.008614,               0.008614,               0.008614
                     30,                0.51831,                0.19948,                0.06662,                0.27057,                0.93568,                0.99178,                0.98755,                0.99469,                0.92967,                0.99023,                0.98559,                0.99418,                0.96223,                0.39778,                0.15941,                0.00083,                0.20604,                0.89659,              0.0085645,              0.0085645,              0.0085645
                     31,                0.51726,                0.20143,                0.06714,                0.27045,                0.93562,                 0.9931,                0.98732,                0.99469,                0.93023,                0.99177,                0.98554,                0.99435,                 0.9619,                0.40102,                0.16144,                0.00081,                0.20558,                0.90018,               0.008515,               0.008515,               0.008515
                     32,                0.51403,                0.19804,                0.06589,                 0.2684,                0.93593,                0.99128,                0.98844,                0.99464,                0.93308,                0.99068,                0.98666,                0.99424,                 0.9618,                 0.3936,                0.16032,                0.00093,                0.20325,                0.89672,              0.0084655,              0.0084655,              0.0084655
