                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2761,                0.84431,                0.09011,                0.55478,                 1.1701,                 0.9706,                0.94599,                0.97486,                0.63393,                0.92905,                 0.8339,                0.86821,                0.75921,                 1.3321,                 1.2711,                0.00385,                0.52275,                 1.2437,               0.070084,               0.003324,               0.003324
                      1,                0.75816,                0.38481,                0.06883,                 0.3614,                0.91015,                 0.9873,                0.95851,                0.98751,                0.63967,                0.89001,                 0.8429,                0.87267,                0.75944,                 1.3726,                 1.3675,                0.00328,                0.51686,                 1.3218,               0.040018,              0.0065914,              0.0065914
                      2,                0.62867,                0.27417,                0.06319,                0.31564,                0.86862,                0.98305,                0.96062,                0.98985,                0.63853,                0.87626,                0.85653,                0.83894,                0.69799,                 1.3175,                 1.3844,                0.00406,                0.49252,                 1.3589,              0.0098865,              0.0097928,              0.0097928
                      3,                0.58444,                0.24182,                0.06426,                0.30343,                0.85748,                0.98251,                0.95457,                0.98032,                0.65756,                0.86889,                0.84448,                0.85329,                0.75554,                  1.275,                 1.2453,                0.00374,                0.48242,                 1.3364,               0.009703,               0.009703,               0.009703
                      4,                 0.5372,                0.20537,                0.05953,                0.28592,                0.84678,                 0.9856,                0.95527,                0.99063,                0.65016,                0.89547,                 0.8759,                0.89857,                0.77147,                 1.2499,                  1.244,                0.00295,                0.47211,                  1.353,               0.009703,               0.009703,               0.009703
                      5,                0.49971,                0.18358,                 0.0578,                0.27655,                 0.8361,                0.96044,                0.97652,                0.98624,                0.65614,                0.83786,                0.85668,                0.80576,                 0.7044,                 1.2522,                 1.2978,                0.00407,                0.47312,                 1.3364,               0.009604,               0.009604,               0.009604
                      6,                0.48188,                0.18331,                0.05688,                0.26939,                0.83373,                0.97155,                 0.9602,                 0.9877,                0.68597,                0.88485,                0.87145,                0.89631,                0.80007,                 1.2151,                 1.1384,                0.00511,                0.48119,                 1.3006,               0.009505,               0.009505,               0.009505
                      7,                  0.469,                0.17256,                0.05539,                0.26254,                0.83017,                0.96239,                0.95471,                0.98961,                0.67243,                0.85832,                 0.8512,                0.84834,                0.76112,                 1.2753,                 1.2709,                0.00332,                0.49597,                 1.3585,               0.009406,               0.009406,               0.009406
                      8,                0.44722,                0.14519,                0.05084,                0.25428,                0.82405,                0.98325,                0.96132,                0.98995,                0.65551,                0.87184,                0.86582,                0.85227,                0.75116,                 1.2525,                 1.2372,                0.00483,                0.49361,                 1.3193,               0.009307,               0.009307,               0.009307
                      9,                0.43315,                0.14494,                0.04866,                  0.249,                0.81927,                0.98488,                0.96217,                0.98966,                0.67118,                0.87029,                0.85026,                 0.8411,                 0.7465,                 1.2416,                 1.2342,                0.00393,                0.47373,                 1.3227,               0.009208,               0.009208,               0.009208
                     10,                0.42443,                0.14114,                  0.049,                0.24572,                0.81808,                0.98012,                0.95676,                0.98925,                0.68246,                 0.8985,                0.84536,                0.87516,                0.78208,                 1.2171,                 1.2133,                 0.0033,                0.47531,                  1.356,               0.009109,               0.009109,               0.009109
                     11,                 0.4213,                0.13909,                0.05038,                0.24586,                0.81976,                  0.982,                0.92757,                0.98854,                 0.6738,                0.90119,                0.85302,                0.86431,                0.74089,                 1.2468,                 1.2519,                0.00368,                0.49787,                 1.3288,                0.00901,                0.00901,                0.00901
                     12,                0.41283,                0.13098,                 0.0469,                0.24168,                0.81703,                  0.977,                0.95612,                0.98846,                0.67211,                0.88132,                0.87842,                0.87957,                  0.781,                  1.247,                 1.2225,                0.00434,                0.49491,                 1.3037,               0.008911,               0.008911,               0.008911
                     13,                0.39825,                0.11778,                0.04334,                0.23743,                 0.8116,                0.98704,                0.95176,                0.99173,                0.69546,                0.90502,                0.86807,                0.89541,                0.80729,                 1.2079,                  1.207,                0.00442,                0.46077,                 1.3074,               0.008812,               0.008812,               0.008812
                     14,                0.39586,                0.12735,                0.04708,                0.23935,                0.81212,                0.99004,                0.95079,                0.99162,                0.66607,                0.83707,                0.84978,                0.80381,                0.75017,                 1.2652,                 1.3065,                0.00362,                0.47487,                 1.3418,               0.008713,               0.008713,               0.008713
                     15,                0.38849,                0.11971,                0.04585,                0.23252,                0.80947,                0.98714,                0.95724,                0.99074,                0.67678,                 0.8889,                0.86217,                0.88134,                0.79578,                 1.2686,                 1.1587,                0.00335,                 0.4938,                 1.3615,               0.008614,               0.008614,               0.008614
                     16,                0.38263,                0.12597,                0.04508,                0.23156,                0.81028,                0.99022,                0.93727,                0.98231,                 0.6719,                0.90877,                0.86307,                0.89954,                0.76535,                 1.2766,                 1.2948,                0.00358,                0.49428,                 1.3472,               0.008515,               0.008515,               0.008515
                     17,                0.37555,                0.11606,                0.04328,                0.22825,                0.80792,                0.97822,                0.94655,                0.99054,                 0.6654,                0.87531,                0.88858,                0.86697,                0.74553,                 1.2519,                  1.254,                0.00364,                 0.4855,                   1.35,               0.008416,               0.008416,               0.008416
                     18,                0.37011,                0.11407,                0.04264,                 0.2271,                 0.8072,                 0.9836,                0.94276,                0.98837,                0.67033,                0.88752,                0.88895,                0.91518,                0.78078,                 1.2904,                 1.2249,                0.00383,                0.48593,                 1.3738,               0.008317,               0.008317,               0.008317
                     19,                0.36325,                0.10786,                0.03995,                0.22404,                0.80467,                0.98222,                0.95021,                0.97734,                0.67081,                0.89598,                0.86695,                0.87305,                 0.7481,                 1.2866,                 1.2158,                 0.0031,                0.51362,                 1.3759,               0.008218,               0.008218,               0.008218
                     20,                0.36047,                0.10616,                0.03897,                0.22069,                0.80355,                0.99381,                  0.926,                0.98372,                0.66625,                0.88038,                 0.8778,                0.87153,                0.75968,                 1.2661,                  1.239,                0.00292,                0.49314,                 1.3596,               0.008119,               0.008119,               0.008119
