                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.3951,                0.54742,                  2.018,                0.83474,                0.99017,                0.94141,                0.95512,                0.90507,                0.99017,                0.94141,                0.95512,                0.87174,                 0.3298,                0.34689,                 0.7167,                0.80294,                0.07015,              0.0033167,              0.0033167
                      1,                0.42538,                0.40874,                0.68921,                0.83148,                0.99761,                0.95979,                0.95621,                0.92157,                0.99761,                0.95979,                0.95621,                 0.8999,                0.27559,                0.31149,                0.46544,                0.79258,               0.040084,              0.0065842,              0.0065842
                      2,                0.48012,                0.40452,                0.62693,                0.84443,                  0.991,                0.94944,                0.95528,                0.91629,                  0.991,                0.94944,                0.95528,                0.89816,                 0.3068,                0.31632,                 0.4913,                0.80086,              0.0099523,              0.0097857,              0.0097857
                      3,                0.44266,                0.39268,                0.57188,                0.84445,                0.99956,                0.96006,                0.95628,                0.92037,                0.99956,                0.96006,                0.95628,                0.90291,                0.27971,                0.30027,                0.36593,                0.79244,               0.009703,               0.009703,               0.009703
                      4,                0.39573,                0.37438,                 0.5136,                0.83383,                 0.9983,                0.95962,                0.95623,                0.93016,                 0.9983,                0.95962,                0.95623,                0.89586,                0.27131,                0.30966,                0.37163,                0.79031,               0.009703,               0.009703,               0.009703
                      5,                0.36819,                0.36425,                 0.4684,                0.82858,                0.99968,                0.95976,                0.95622,                0.93383,                0.99968,                0.95976,                0.95622,                0.89482,                0.25693,                0.28342,                0.33872,                0.78478,               0.009604,               0.009604,               0.009604
                      6,                0.34913,                0.35015,                0.43051,                0.82405,                0.99728,                 0.9583,                0.95637,                0.94481,                0.99728,                 0.9583,                0.95637,                0.89725,                0.21496,                0.29085,                0.30612,                  0.782,               0.009505,               0.009505,               0.009505
                      7,                0.33021,                0.34536,                0.40135,                0.82199,                 0.9996,                0.96021,                0.95673,                0.94507,                 0.9996,                0.96021,                0.95673,                0.90958,                0.20899,                0.26584,                0.27291,                0.77869,               0.009406,               0.009406,               0.009406
                      8,                 0.3164,                0.34011,                0.37208,                0.82123,                0.99938,                0.96002,                0.95678,                0.95223,                0.99938,                0.96002,                0.95678,                0.90362,                 0.1866,                 0.2725,                0.24574,                0.77712,               0.009307,               0.009307,               0.009307
                      9,                0.30546,                0.33276,                0.35316,                 0.8181,                0.99978,                0.96021,                0.95823,                0.95385,                0.99978,                0.96021,                0.95823,                0.90759,                0.19523,                0.26858,                0.23133,                 0.7778,               0.009208,               0.009208,               0.009208
                     10,                0.29648,                0.33188,                0.33299,                 0.8169,                0.99967,                0.96021,                0.95898,                0.95314,                0.99967,                0.96021,                0.95898,                0.91237,                0.17773,                0.26472,                0.22013,                0.77278,               0.009109,               0.009109,               0.009109
                     11,                0.28683,                0.32636,                0.31989,                 0.8143,                 0.9996,                0.96021,                0.96001,                0.95653,                 0.9996,                0.96021,                0.96001,                0.91351,                0.18765,                0.26013,                0.21472,                0.77278,                0.00901,                0.00901,                0.00901
                     12,                0.28363,                0.32231,                0.30765,                0.81419,                0.99975,                0.96005,                0.96099,                0.95537,                0.99975,                0.96005,                0.96099,                0.90597,                0.19711,                0.25813,                0.20649,                0.77455,               0.008911,               0.008911,               0.008911
                     13,                0.27663,                 0.3176,                0.29665,                0.81246,                0.99971,                0.96021,                 0.9612,                0.95857,                0.99971,                0.96021,                 0.9612,                0.91787,                0.16424,                0.25077,                0.19205,                0.77045,               0.008812,               0.008812,               0.008812
