                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.39726,                 2.3753,                0.91282,                0.84931,                0.80146,                0.71361,                0.81229,                0.78192,                0.80146,                0.71361,                0.81137,                0.66912,                0.28234,                 1.4465,                 0.9006,                 0.8066,                 0.0964,                 0.0004,                 0.0004
                      1,                0.38234,                 2.2844,                0.94649,                 0.8505,                0.78315,                0.83095,                0.87957,                0.84218,                0.78315,                0.83095,                0.87854,                0.71222,                0.29405,                 1.3874,                0.84352,                0.80721,               0.091891,             0.00089109,             0.00089109
                      2,                0.36076,                 1.2237,                0.72723,                0.84485,                0.71164,                0.75232,                0.78337,                0.72321,                0.70681,                0.74826,                0.77121,                0.55505,                0.49729,                 2.2524,                  1.182,                0.89014,               0.087372,              0.0013723,              0.0013723
                      3,                0.36788,                0.99725,                0.62614,                0.83401,                0.77882,                0.77318,                0.85096,                0.79026,                0.78552,                0.75478,                0.84971,                0.67404,                0.43616,                  1.456,                0.83714,                0.85628,               0.082844,              0.0018436,              0.0018436
                      4,                0.34156,                0.83288,                0.48687,                0.83794,                0.88054,                0.91524,                0.96637,                0.93517,                0.88054,                0.91524,                0.96637,                0.81937,                0.27334,                0.69884,                0.36918,                0.79807,               0.078305,               0.002305,               0.002305
                      5,                0.34015,                0.71373,                0.45167,                0.82984,                0.91148,                0.92528,                0.95834,                0.93881,                0.91148,                0.92528,                0.95834,                0.83668,                 0.2374,                0.62272,                0.26125,                0.79175,               0.073756,              0.0027564,              0.0027564
                      6,                0.32396,                0.64881,                0.39535,                0.83712,                0.93475,                0.94453,                 0.9709,                0.95729,                0.93475,                0.94453,                 0.9709,                0.84322,                0.22447,                0.63039,                0.23398,                0.78902,               0.069198,               0.003198,               0.003198
                      7,                 0.3102,                0.62975,                0.33519,                0.82653,                0.96936,                0.96924,                0.99201,                 0.9757,                0.96936,                0.96924,                0.99201,                0.88036,                0.22023,                0.59431,                0.21467,                0.78684,                0.06463,              0.0036297,              0.0036297
                      8,                0.31213,                0.63147,                0.34926,                0.83118,                0.97176,                0.96235,                0.98829,                0.96835,                0.97176,                0.96235,                0.98829,                0.88344,                0.21766,                0.54293,                0.21315,                0.78449,               0.060052,              0.0040515,              0.0040515
                      9,                0.32344,                0.58474,                0.32608,                0.83458,                0.94294,                0.74913,                0.85639,                0.78982,                0.88865,                0.70802,                0.77993,                0.55961,                0.32911,                 1.9311,                0.50909,                0.82702,               0.055463,              0.0044634,              0.0044634
                     10,                0.29454,                0.55497,                0.29396,                0.81821,                0.87292,                0.92141,                0.94097,                0.90625,                0.90607,                0.86545,                0.93219,                0.76936,                0.23788,                 0.9088,                0.29139,                0.79186,               0.050865,              0.0048654,              0.0048654
                     11,                0.29572,                 0.5309,                0.28519,                0.82296,                0.97464,                 0.9321,                0.99167,                0.98071,                0.97464,                 0.9321,                0.99167,                0.88593,                0.19977,                0.48552,                0.21137,                0.78392,               0.046257,              0.0052575,              0.0052575
                     12,                0.30077,                0.53072,                0.29089,                0.81809,                 0.9745,                0.94103,                0.99464,                0.98488,                 0.9745,                0.94103,                0.99464,                0.89454,                0.18819,                0.46827,                0.20161,                0.78402,                0.04164,              0.0056397,              0.0056397
                     13,                0.29645,                0.52022,                0.28638,                0.81988,                0.91806,                0.96768,                0.97462,                0.96571,                0.91806,                0.96768,                0.97462,                0.86762,                0.20142,                 0.4991,                0.23981,                0.78302,               0.037012,               0.006012,               0.006012
                     14,                0.28461,                0.55107,                0.27551,                 0.8166,                0.96697,                0.96241,                0.99037,                0.97607,                 0.9558,                 0.9486,                0.97698,                0.88163,                0.21718,                0.56294,                0.21434,                 0.7849,               0.032374,              0.0063744,              0.0063744
                     15,                0.29181,                0.52915,                0.27904,                0.81973,                0.95566,                0.97433,                0.98802,                0.97953,                0.94439,                0.96064,                0.96882,                 0.8973,                0.17444,                0.50097,                0.20404,                0.77894,               0.027727,              0.0067268,              0.0067268
                     16,                0.29308,                 0.4911,                0.27637,                0.81723,                0.96415,                0.95335,                0.99163,                0.97848,                0.96415,                0.95335,                0.99163,                0.89247,                0.20376,                0.47416,                0.20313,                0.78282,               0.023069,              0.0070694,              0.0070694
                     17,                0.29565,                0.48914,                0.26849,                0.83037,                0.99058,                0.96566,                0.99448,                0.98783,                0.99058,                0.96566,                0.99448,                0.91767,                0.18038,                0.40039,                0.16678,                0.77816,               0.018402,              0.0074021,              0.0074021
