                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2363,                 7.6375,                0.58733,                 3.6059,                 7.4972,                0.09722,                0.08824,                0.05937,                0.00729,                      0,                      0,                      0,                      0,                 4.6976,                  8.052,                 0.5257,                   4.51,                  8.018,                 0.0982,                 0.0002,                 0.0002
                      1,                 4.2988,                  7.704,                0.59094,                 3.6094,                 7.2608,                0.09648,                0.08824,                0.06203,                 0.0082,                      0,                      0,                      0,                      0,                  4.683,                 8.0546,                0.52033,                 4.5757,                 8.0563,               0.095499,             0.00049901,             0.00049901
                      2,                 4.3432,                 7.5104,                 0.5934,                 3.3354,                 7.4937,                0.09209,                0.14706,                0.07173,                0.01045,                      0,                      0,                      0,                      0,                 4.6183,                 7.8122,                 0.5127,                 3.8493,                 7.8105,               0.092797,             0.00079683,             0.00079683
                      3,                 4.3117,                 7.1169,                 0.5607,                 2.6587,                 6.9908,                0.16516,                0.11765,                0.13127,                 0.0193,                0.03916,                0.02941,                0.00762,                0.00076,                 4.5666,                 7.2781,                0.51561,                  2.552,                 7.1545,               0.090093,              0.0010935,              0.0010935
                      4,                 4.1479,                 6.6519,                0.59344,                 2.0094,                 5.1523,                0.13433,                0.26471,                0.13183,                0.02017,                0.06689,                0.02941,                0.00909,                0.00091,                 4.2582,                 6.3338,                0.53336,                 1.9651,                 5.5617,               0.087389,              0.0013889,              0.0013889
                      5,                 3.6453,                  5.573,                0.60631,                  1.738,                 3.4406,                 0.2613,                0.20588,                0.14762,                 0.0289,                 0.1366,                0.11765,                0.06459,                0.01117,                  4.002,                 5.6867,                0.56001,                 1.9441,                 4.3658,               0.084683,              0.0016832,              0.0016832
                      6,                 3.4242,                 5.1106,                0.63995,                 1.6776,                 2.8426,                0.32668,                0.23529,                0.17828,                0.04691,                0.23373,                0.17647,                0.10828,                 0.0216,                  3.515,                 5.0622,                 0.5881,                 1.8356,                 3.2221,               0.081976,              0.0019762,              0.0019762
                      7,                 3.2094,                 4.8897,                0.63328,                  1.814,                 2.5354,                0.25576,                0.32353,                0.22458,                0.05864,                 0.2499,                0.20588,                0.12612,                0.02199,                 3.1934,                 4.8915,                0.58846,                 1.9144,                 2.7993,               0.079268,              0.0022681,              0.0022681
                      8,                 3.0282,                 4.6218,                0.64126,                 1.7779,                 2.2543,                0.33088,                0.35294,                0.24087,                0.07256,                0.30559,                0.23529,                0.11183,                0.02844,                      3,                 4.7297,                0.56978,                 1.8264,                 2.4463,               0.076559,              0.0025588,              0.0025588
                      9,                 2.9197,                 4.6796,                0.59811,                 1.6799,                 2.0546,                0.46022,                0.29412,                0.30589,                0.07838,                0.32736,                0.26471,                0.13259,                0.03761,                 2.9482,                 4.6376,                0.55437,                  1.707,                 2.3715,               0.073848,              0.0028483,              0.0028483
