                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0207,                  2.239,                  1.446,                 1.0296,                0.94429,                0.89049,                0.95415,                0.73874,                0.91251,                0.82834,                0.86951,                0.59374,                0.80263,                 1.7578,                0.70283,                0.94925,                0.07015,              0.0033167,              0.0033167
                      1,                0.91498,                 1.8646,                 0.7149,                 0.9847,                0.91754,                0.85629,                0.94506,                0.70497,                0.90581,                0.78505,                0.85532,                0.54478,                0.90665,                 1.9655,                  0.736,                 1.0132,               0.040084,              0.0065842,              0.0065842
                      2,                0.92615,                 1.7761,                0.69293,                0.98844,                0.94759,                0.90966,                0.97361,                0.70808,                0.91542,                0.84487,                 0.8839,                 0.5531,                0.90901,                 1.6281,                0.69207,                0.98954,              0.0099523,              0.0097857,              0.0097857
                      3,                 0.9034,                 1.6824,                0.66409,                 0.9844,                0.95548,                0.91898,                0.97238,                0.73849,                0.93312,                0.85387,                0.89462,                0.57785,                0.83796,                 1.5985,                0.64849,                0.97968,               0.009703,               0.009703,               0.009703
                      4,                0.84626,                 1.5325,                0.61729,                 0.9677,                0.96673,                0.93522,                0.98196,                0.78219,                0.92313,                0.88862,                0.91744,                0.64652,                0.73042,                 1.3468,                0.52653,                0.92619,               0.009703,               0.009703,               0.009703
                      5,                0.79612,                 1.5055,                0.56884,                 0.9481,                0.95713,                0.93336,                0.97528,                0.77463,                0.93244,                0.87791,                0.91297,                 0.6302,                0.71666,                 1.4378,                0.52944,                  0.936,               0.009604,               0.009604,               0.009604
                      6,                0.78304,                 1.4518,                0.54876,                0.94544,                0.97586,                0.94209,                0.98651,                0.80544,                0.94922,                0.89789,                0.93461,                0.65934,                0.67559,                 1.3303,                0.47111,                0.91878,               0.009505,               0.009505,               0.009505
                      7,                 0.7621,                 1.4085,                0.52601,                0.93959,                0.97227,                0.94704,                 0.9868,                0.80882,                0.94406,                  0.899,                0.93223,                0.67874,                 0.6745,                 1.2475,                0.45081,                0.91021,               0.009406,               0.009406,               0.009406
                      8,                0.73889,                 1.3843,                0.50751,                0.93047,                0.97334,                 0.9455,                0.98566,                0.81229,                 0.9406,                0.90011,                0.93304,                0.68286,                0.66146,                 1.2142,                0.42319,                0.90206,               0.009307,               0.009307,               0.009307
                      9,                0.71335,                  1.336,                0.48902,                0.92119,                0.97228,                 0.9473,                0.98384,                0.81689,                0.94273,                0.90128,                0.93451,                0.68856,                0.64466,                  1.209,                 0.4396,                0.90648,               0.009208,               0.009208,               0.009208
                     10,                0.70464,                 1.2965,                0.47388,                0.92112,                0.97541,                0.95402,                 0.9895,                0.83944,                0.94973,                0.90788,                0.94325,                0.70294,                0.60344,                 1.1952,                 0.4075,                0.89366,               0.009109,               0.009109,               0.009109
                     11,                0.67399,                 1.2214,                0.45441,                0.90995,                0.97892,                0.96041,                0.99012,                  0.848,                0.95014,                0.92353,                  0.949,                0.71898,                0.58398,                 1.1473,                0.38702,                0.88513,                0.00901,                0.00901,                0.00901
                     12,                0.65396,                 1.1737,                0.44357,                0.90385,                0.97592,                 0.9545,                0.98953,                0.85145,                0.94473,                0.92324,                0.94854,                0.73707,                0.56807,                 1.0793,                0.37604,                0.88489,               0.008911,               0.008911,               0.008911
                     13,                0.65349,                  1.181,                0.43684,                0.90478,                0.98254,                0.95756,                 0.9907,                0.86447,                  0.956,                 0.9212,                 0.9557,                0.73674,                0.56764,                 1.0848,                0.37491,                0.88621,               0.008812,               0.008812,               0.008812
                     14,                0.64012,                 1.1809,                0.42745,                0.89756,                0.97893,                0.95819,                0.99092,                0.85981,                0.95027,                0.91713,                0.95372,                0.74621,                0.57029,                 1.0552,                0.37344,                0.88043,               0.008713,               0.008713,               0.008713
                     15,                0.62805,                 1.1451,                0.41686,                0.89394,                0.97866,                0.95708,                0.98925,                0.85877,                0.95585,                0.92157,                0.95301,                0.73549,                0.55786,                 1.0789,                0.36311,                0.87634,               0.008614,               0.008614,               0.008614
                     16,                0.63571,                 1.1244,                 0.4188,                0.89876,                0.98109,                0.95995,                0.99094,                0.87088,                0.95474,                0.92869,                0.95205,                0.73937,                0.53432,                 1.1016,                0.35155,                0.87783,               0.008515,               0.008515,               0.008515
                     17,                0.61537,                 1.1136,                0.40928,                0.89045,                0.97671,                0.96174,                0.99056,                0.87067,                 0.9499,                0.92596,                0.95709,                0.74183,                0.54269,                 1.0521,                0.36073,                0.87846,               0.008416,               0.008416,               0.008416
                     18,                0.61103,                 1.1136,                 0.4044,                0.89138,                0.97954,                0.96707,                0.99187,                0.87803,                0.95717,                0.92591,                0.95465,                0.74536,                0.51956,                 1.0226,                0.34079,                0.86814,               0.008317,               0.008317,               0.008317
                     19,                0.58931,                 1.0612,                0.39322,                0.88547,                0.97711,                0.96339,                0.99038,                0.87925,                0.95541,                0.92739,                 0.9587,                0.75877,                0.53228,                 1.0608,                0.34095,                0.87373,               0.008218,               0.008218,               0.008218
                     20,                0.59766,                 1.0869,                0.39648,                0.88687,                0.98083,                0.96525,                0.99179,                0.89248,                0.95717,                0.93267,                0.96082,                0.77274,                0.49499,                 1.0225,                0.33022,                0.86714,               0.008119,               0.008119,               0.008119
                     21,                0.57925,                 1.0566,                0.38608,                0.88264,                0.98298,                0.96522,                0.99196,                0.89238,                0.95911,                0.92845,                0.95757,                0.77287,                  0.493,                 1.0114,                0.31747,                0.86379,                0.00802,                0.00802,                0.00802
                     22,                0.57031,                 1.0343,                0.37999,                0.88015,                0.97862,                0.96532,                0.99182,                0.88964,                0.95737,                0.93054,                0.96399,                0.76664,                0.50215,                 1.0226,                0.32547,                0.86456,               0.007921,               0.007921,               0.007921
                     23,                0.56953,                 1.0329,                0.37632,                0.87804,                0.98083,                0.97262,                0.99162,                0.89375,                0.95314,                0.93859,                0.96189,                 0.7751,                0.49434,                 0.9723,                0.31967,                0.86135,               0.007822,               0.007822,               0.007822
