                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8897,                 8.8652,                 0.4227,                 2.6079,                 5.3017,                0.11917,                  0.325,                0.07396,                0.01574,                      0,                      0,                      0,                      0,                 3.8741,                 8.5138,                0.00654,                 3.2298,                 5.3114,                 0.0982,                 0.0002,                 0.0002
                      1,                 4.0361,                 9.0532,                0.47796,                 2.5619,                 5.7844,                0.10482,                   0.25,                0.06376,                0.01345,                      0,                      0,                      0,                      0,                 3.9381,                 8.6097,                0.00566,                 3.2391,                 5.5367,               0.095498,             0.00049752,             0.00049752
                      2,                 3.9738,                 8.8491,                 0.4816,                 2.5829,                 5.4132,                0.13219,                  0.325,                0.08808,                0.01984,                      0,                      0,                      0,                      0,                 3.8332,                 8.1621,                0.00614,                 2.8359,                 5.1867,               0.092792,             0.00079208,             0.00079208
                      3,                 3.8037,                 8.4192,                0.45483,                 2.0151,                 4.8834,                0.12203,                   0.45,                0.09136,                0.02323,                      0,                      0,                      0,                      0,                 3.6922,                 7.5817,                0.00629,                  2.471,                 4.7397,               0.090084,              0.0010837,              0.0010837
                      4,                 3.5986,                 7.2909,                0.39099,                 1.5892,                 4.1566,                0.17276,                    0.4,                0.12599,                0.03187,                0.02706,                    0.1,                0.01519,                0.00215,                 3.2961,                 6.0733,                0.00819,                 2.0078,                 3.7389,               0.087372,              0.0013723,              0.0013723
                      5,                 3.0805,                 5.4171,                0.35204,                 1.5244,                 2.8055,                0.16072,                  0.425,                0.14564,                0.03444,                 0.0819,                   0.25,                0.04308,                0.00828,                 3.1804,                  5.211,                0.01002,                 1.9366,                 3.3246,               0.084658,              0.0016579,              0.0016579
                      6,                 3.1386,                 4.9028,                0.26295,                 1.5158,                 2.5967,                0.18082,                  0.475,                 0.1475,                0.04161,                0.09517,                   0.25,                0.06685,                0.01682,                 3.0933,                 4.6654,                0.01047,                 1.9072,                 2.9158,               0.081941,              0.0019406,              0.0019406
                      7,                 2.9284,                 4.8452,                0.26871,                 1.5532,                 2.3853,                0.20064,                  0.575,                0.16372,                0.04221,                0.11821,                    0.3,                0.06552,                0.01766,                  3.015,                 4.5144,                0.01064,                 1.8766,                 2.6739,                0.07922,              0.0022203,              0.0022203
                      8,                 2.7539,                 4.4293,                0.40622,                 1.5546,                 2.0874,                0.17358,                    0.5,                0.21991,                 0.0478,                0.23409,                  0.325,                0.16525,                0.03353,                 2.9635,                 4.3003,                0.01445,                 1.8213,                 2.3898,               0.076497,               0.002497,               0.002497
                      9,                 2.7755,                 4.2476,                0.28597,                 1.5049,                 1.8881,                0.25645,                0.38812,                0.28198,                  0.059,                0.25402,                  0.375,                0.18796,                0.03813,                 2.8874,                 4.1878,                 0.0153,                 1.7843,                 2.2687,               0.073771,              0.0027708,              0.0027708
                     10,                 2.4733,                 4.1483,                0.31501,                 1.5648,                 1.8084,                0.32568,                  0.525,                0.35148,                0.08384,                0.26765,                    0.3,                0.23876,                0.04665,                 2.7542,                  4.062,                0.01587,                 1.6579,                 2.1333,               0.071042,              0.0030416,              0.0030416
                     11,                 2.3791,                 3.9227,                0.31824,                 1.4648,                 1.6968,                0.32271,                  0.575,                0.38073,                0.09208,                0.26881,                  0.375,                0.25867,                0.05054,                 2.6502,                 4.0184,                0.01744,                 1.6237,                 2.0508,               0.068309,              0.0033094,              0.0033094
                     12,                 2.3867,                 3.7541,                0.22861,                 1.5014,                 1.8211,                 0.4051,                   0.55,                0.42237,                0.12277,                 0.2978,                  0.325,                0.26366,                0.05829,                   2.52,                 3.9333,                0.02636,                  1.589,                 1.9757,               0.065574,              0.0035743,              0.0035743
                     13,                 2.1157,                 3.7846,                0.22732,                 1.3339,                 1.5907,                0.41376,                   0.45,                0.42882,                0.15621,                0.35124,                   0.35,                0.29584,                0.07177,                 2.2931,                 3.8579,                0.02446,                 1.5835,                 1.8182,               0.062836,              0.0038362,              0.0038362
                     14,                 2.0953,                 3.6977,                0.22139,                 1.2808,                 1.5548,                0.43565,                0.55979,                0.50074,                0.19315,                0.35781,                0.45979,                0.32538,                0.08827,                 2.2033,                 3.7788,                0.01535,                  1.478,                 1.7904,               0.060095,              0.0040951,              0.0040951
                     15,                 1.9148,                 3.6152,                0.29733,                 1.1865,                 1.4049,                0.45885,                   0.65,                0.50554,                0.18895,                0.35718,                  0.575,                0.34176,                0.09234,                 2.2221,                 3.7818,                0.01131,                 1.4857,                 1.7954,               0.057351,               0.004351,               0.004351
                     16,                 1.8092,                 3.7032,                0.23404,                 1.0767,                 1.3616,                0.59129,                0.68734,                0.61411,                0.24237,                0.37173,                  0.525,                0.36097,                0.09765,                 2.1234,                 3.7813,                0.01568,                 1.3228,                 1.6818,               0.054604,               0.004604,               0.004604
                     17,                  1.792,                 3.5986,                0.22046,                 1.0137,                  1.334,                0.62068,                  0.725,                  0.661,                0.26081,                 0.4064,                  0.525,                0.33211,                0.11347,                 2.2517,                 3.8333,                0.01363,                 1.2893,                 1.6922,               0.051854,               0.004854,               0.004854
                     18,                 1.7887,                 3.4988,                0.24802,                 1.0151,                 1.3151,                0.48842,                  0.775,                0.63523,                0.23611,                0.45194,                   0.35,                 0.3545,                  0.138,                 2.2167,                  3.786,                0.01194,                 1.3462,                 1.6725,               0.049101,               0.005101,               0.005101
                     19,                 1.7037,                 3.5562,                0.18757,                0.95598,                 1.2341,                0.56125,                0.79951,                0.72707,                0.29217,                0.42198,                0.58415,                0.42788,                0.14568,                 2.1258,                 3.6824,                0.01289,                 1.1891,                 1.5502,               0.046345,              0.0053451,              0.0053451
                     20,                 1.7768,                  3.393,                0.33207,                 1.0568,                  1.341,                 0.5883,                0.75021,                 0.7443,                0.32189,                0.43819,                0.56559,                0.42355,                0.16255,                 2.0785,                 3.6086,                 0.0175,                  1.162,                 1.4962,               0.043586,              0.0055862,              0.0055862
                     21,                 1.6153,                 3.3662,                0.17816,                0.98529,                 1.2632,                0.62767,                  0.775,                0.76095,                0.31836,                0.48594,                    0.6,                0.47038,                0.18028,                  2.057,                  3.626,                0.01417,                 1.1704,                 1.4861,               0.040824,              0.0058243,              0.0058243
                     22,                 1.5953,                 3.3738,                0.23176,                0.90085,                 1.1888,                0.80816,                   0.75,                 0.8601,                0.42935,                0.49814,                  0.675,                0.55483,                0.21149,                 1.7864,                 3.4803,                0.02315,                 1.0765,                 1.3493,               0.038059,              0.0060595,              0.0060595
                     23,                 1.6048,                 2.9856,                0.17104,                0.95617,                 1.1989,                0.68968,                   0.85,                0.85785,                0.38272,                0.51539,                  0.675,                0.56574,                0.22799,                 2.0197,                 3.4899,                0.01423,                 1.0455,                 1.4427,               0.035292,              0.0062917,              0.0062917
                     24,                 1.5761,                 2.9594,                0.30532,                0.94437,                  1.212,                0.74831,                    0.8,                0.84042,                0.43492,                0.53507,                  0.575,                 0.5116,                 0.2284,                 1.8366,                 3.4145,                 0.0229,                0.97559,                 1.3209,               0.032521,              0.0065209,              0.0065209
                     25,                  1.403,                 3.0875,                0.22896,                0.81461,                 1.0917,                0.86159,                  0.825,                0.88876,                0.42927,                0.59939,                  0.575,                0.50722,                0.24113,                 1.8795,                 3.3657,                0.03221,                0.97244,                 1.3193,               0.029747,              0.0067471,              0.0067471
                     26,                 1.4549,                 2.7444,                0.23426,                0.83711,                 1.1441,                0.91036,                0.76191,                0.85307,                0.40704,                 0.5994,                    0.5,                0.46374,                0.18859,                 1.9313,                 3.6347,                0.02343,                0.90116,                 1.3217,                0.02697,              0.0069704,              0.0069704
                     27,                 1.4578,                 2.8305,                0.25482,                0.82165,                 1.1421,                0.97214,                0.87255,                0.89784,                0.47201,                0.63608,                  0.575,                0.51597,                0.22229,                 1.7266,                 3.3228,                0.03625,                0.84576,                 1.2673,               0.024191,              0.0071907,              0.0071907
                     28,                 1.3687,                 2.8282,                0.28526,                0.79883,                 1.0785,                0.97214,                0.87255,                0.89784,                0.47201,                0.63608,                  0.575,                0.51597,                0.22229,                 1.7266,                 3.3228,                0.03625,                0.84576,                 1.2673,               0.021408,               0.007408,               0.007408
                     29,                 1.3818,                 2.9901,                0.24131,                0.79246,                   1.12,                0.94281,                    0.9,                0.89328,                0.43059,                0.65253,                  0.625,                0.57165,                 0.1998,                 1.8346,                 3.4039,                0.03845,                0.84884,                 1.3528,               0.018622,              0.0076224,              0.0076224
                     30,                 1.4837,                 2.8208,                0.25528,                0.78501,                 1.1569,                0.89667,                0.86788,                0.87025,                0.42374,                0.61386,                0.59624,                 0.5526,                0.21082,                 1.9503,                 3.5844,                0.02422,                0.85657,                 1.3657,               0.015834,              0.0078338,              0.0078338
                     31,                 1.3349,                 2.7993,                0.22211,                0.72468,                 1.0846,                0.91796,                  0.875,                0.89075,                 0.4767,                0.70592,                  0.675,                 0.6707,                0.26539,                 1.6775,                 3.2656,                0.04372,                0.79429,                 1.2505,               0.013042,              0.0080422,              0.0080422
                     32,                 1.3245,                 2.8768,                0.25714,                0.76081,                 1.0986,                0.91796,                  0.875,                0.89075,                 0.4767,                0.70592,                  0.675,                 0.6707,                0.26539,                 1.6775,                 3.2656,                0.04372,                0.79429,                 1.2505,               0.010248,              0.0082477,              0.0082477
                     33,                 1.3804,                 2.6216,                0.26522,                0.76427,                 1.0999,                 0.8967,                0.86819,                0.86784,                 0.4798,                0.71205,                0.61834,                0.63832,                0.27718,                 1.7311,                 3.4148,                0.04767,                0.80278,                 1.2359,              0.0083665,              0.0083665,              0.0083665
                     34,                  1.349,                  2.649,                0.25718,                0.72683,                 1.1192,                0.89923,                  0.875,                 0.8944,                0.52012,                0.66567,                   0.65,                0.66983,                0.33382,                 1.5699,                  3.153,                0.06316,                0.76553,                 1.2046,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3957,                 2.6298,                0.23889,                0.73251,                 1.0911,                0.89312,                    0.9,                0.90322,                0.51965,                0.85196,                  0.575,                0.66697,                0.29877,                 1.6096,                 3.2536,                0.06233,                0.74662,                 1.2258,               0.008317,               0.008317,               0.008317
                     36,                 1.3685,                 2.5336,                0.28843,                0.79042,                 1.1413,                0.89312,                    0.9,                0.90322,                0.51965,                0.85196,                  0.575,                0.66697,                0.29877,                 1.6096,                 3.2536,                0.06233,                0.74662,                 1.2258,              0.0082675,              0.0082675,              0.0082675
