                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2989,                 1.7482,                0.21198,                0.59817,                 1.3064,                0.99025,                0.98964,                0.99416,                0.68909,                0.90326,                0.90281,                0.85081,                0.77124,                 1.1596,                 1.1701,                0.01359,                 0.4161,                 1.1119,               0.070054,              0.0033273,              0.0033273
                      1,                0.71598,                 0.4635,                0.14268,                0.35328,                0.87551,                0.99654,                 0.9959,                0.99428,                 0.7025,                0.90795,                0.90748,                0.86246,                 0.8035,                 1.1113,                 1.0182,                0.00824,                0.37923,                 1.1203,               0.039923,              0.0065287,              0.0065287
                      2,                0.62549,                0.33371,                0.11869,                0.31984,                0.84811,                0.99706,                0.99599,                0.99402,                0.71775,                0.92317,                0.92215,                 0.9074,                0.86669,                 1.1433,                 1.0238,                0.00868,                   0.38,                 1.1451,              0.0096587,              0.0095982,              0.0095982
                      3,                0.55592,                0.27074,                0.10232,                0.29811,                0.83438,                0.99767,                0.99726,                0.99441,                0.73044,                0.91127,                   0.91,                0.90352,                0.86165,                 1.1032,                 1.0381,                0.00733,                 0.3753,                 1.1362,               0.009406,               0.009406,               0.009406
                      4,                0.50026,                0.22655,                 0.0844,                 0.2796,                0.82016,                0.99859,                0.99757,                0.99458,                0.72159,                 0.9069,                0.90598,                0.89165,                0.84938,                 1.1208,                 1.0944,                0.00731,                0.37059,                 1.1334,               0.009406,               0.009406,               0.009406
                      5,                 0.4626,                0.20585,                 0.0726,                0.26685,                0.81399,                0.99837,                0.99552,                0.99453,                 0.7368,                0.91848,                 0.9185,                0.89386,                0.85318,                 1.0738,                0.96193,                0.00792,                0.37163,                 1.1198,               0.009208,               0.009208,               0.009208
                      6,                0.43533,                 0.1888,                0.06754,                0.25682,                0.81025,                0.99822,                  0.997,                0.99433,                0.73459,                0.92004,                0.91906,                 0.9046,                0.86363,                 1.0588,                 0.9548,                0.00398,                0.35966,                 1.1099,                0.00901,                0.00901,                0.00901
                      7,                0.41868,                  0.169,                0.06092,                0.24843,                0.80714,                0.99888,                0.99866,                 0.9946,                0.73565,                0.91981,                0.92008,                0.90802,                 0.8578,                 1.0682,                 1.0211,                0.00401,                 0.3645,                 1.1172,               0.008812,               0.008812,               0.008812
                      8,                0.39975,                0.15983,                 0.0587,                0.24309,                0.80416,                0.99767,                0.99803,                0.99422,                0.73245,                0.90693,                0.90738,                0.89188,                0.86218,                 1.0765,                 1.1025,                0.00597,                0.37788,                 1.1288,               0.008614,               0.008614,               0.008614
                      9,                0.38379,                0.15147,                0.05475,                0.23629,                0.80143,                0.99823,                0.99768,                0.99457,                0.73459,                0.92222,                0.92212,                0.91178,                0.88196,                 1.0601,                0.95037,                 0.0044,                0.36467,                 1.1085,               0.008416,               0.008416,               0.008416
                     10,                0.37343,                0.13574,                 0.0509,                0.23161,                0.79808,                0.99933,                0.99907,                0.99469,                0.74042,                0.91947,                0.91924,                0.90429,                0.87339,                 1.0847,                0.96862,                0.00293,                 0.3695,                 1.1206,               0.008218,               0.008218,               0.008218
                     11,                0.35906,                0.12744,                0.04984,                0.22675,                0.79687,                0.99836,                0.99897,                0.99455,                0.74181,                0.91631,                0.91691,                 0.9061,                 0.8785,                 1.0618,                0.93204,                  0.003,                0.37238,                 1.1126,                0.00802,                0.00802,                0.00802
                     12,                0.34955,                0.13236,                0.04951,                0.22303,                0.79635,                0.99832,                 0.9991,                0.99465,                 0.7387,                0.92388,                0.92464,                0.90937,                0.88529,                 1.0794,                0.97631,                0.00268,                0.37605,                 1.1285,               0.007822,               0.007822,               0.007822
                     13,                 0.3379,                0.12123,                0.04595,                0.21842,                0.79405,                0.99944,                0.99895,                0.99464,                0.72627,                0.91631,                0.91586,                0.89962,                 0.8689,                 1.0878,                 1.0071,                0.00304,                0.38282,                 1.1286,               0.007624,               0.007624,               0.007624
                     14,                0.33371,                0.11295,                0.04489,                0.21424,                0.79302,                0.99907,                0.99905,                0.99458,                0.73475,                0.92101,                  0.921,                0.91955,                0.89658,                 1.0795,                0.97626,                 0.0029,                0.37908,                  1.135,               0.007426,               0.007426,               0.007426
