                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8331,                 1.3716,                0.34075,                 1.5303,                 2.1182,                0.85653,                0.85124,                0.91306,                0.57207,                0.86521,                0.86324,                0.92423,                 0.8131,                 1.3139,                0.50048,                0.02802,                 0.8574,                 1.6092,               0.070013,              0.0033319,              0.0033319
                      1,                 1.0603,                0.48996,                0.14462,                0.78371,                 1.3163,                0.89682,                0.90761,                0.95412,                0.79713,                0.89738,                0.90913,                0.95562,                0.91443,                0.67211,                0.24832,                 0.0049,                0.55009,                 1.1197,                0.03998,              0.0066322,              0.0066322
                      2,                0.85525,                0.34309,                0.11513,                0.63335,                 1.1707,                0.93141,                0.92129,                0.96659,                0.85129,                 0.9321,                0.92198,                 0.9668,                0.94042,                0.54136,                0.15838,                0.00334,                0.44013,                 1.0267,              0.0099143,              0.0098995,              0.0098995
                      3,                0.73218,                0.26318,                0.09461,                0.54795,                 1.0914,                0.93245,                0.93322,                 0.9762,                0.88977,                0.93378,                 0.9316,                 0.9759,                0.95471,                  0.464,                0.13309,                0.00215,                0.37805,                0.97609,              0.0098515,              0.0098515,              0.0098515
                      4,                0.64968,                0.22885,                0.08256,                0.49187,                 1.0429,                0.94232,                0.93855,                0.97814,                 0.9084,                0.94232,                0.93855,                0.97792,                0.95864,                 0.4186,                0.11896,                0.00133,                0.34365,                0.94877,              0.0098515,              0.0098515,              0.0098515
                      5,                0.60377,                0.20542,                0.07548,                 0.4595,                 1.0169,                0.94768,                0.94209,                0.97993,                0.91531,                0.94763,                0.94205,                0.97988,                0.96123,                0.39938,                0.10876,                0.00134,                0.32396,                0.93763,               0.009802,               0.009802,               0.009802
                      6,                0.57527,                0.19136,                0.07048,                0.43859,                 1.0004,                0.94668,                0.94791,                0.98153,                 0.9281,                0.94638,                0.94762,                0.98154,                0.96351,                0.37248,                0.10348,                0.00114,                0.30541,                 0.9199,              0.0097525,              0.0097525,              0.0097525
                      7,                  0.553,                 0.1809,                0.06785,                0.42145,                0.98758,                0.95088,                0.94776,                0.98192,                 0.9358,                0.95078,                0.94766,                 0.9819,                0.96707,                0.35347,                0.09383,                0.00124,                0.29068,                0.90832,               0.009703,               0.009703,               0.009703
                      8,                0.53454,                0.17076,                0.06509,                0.40674,                0.97697,                0.95112,                0.95183,                0.98256,                0.93704,                0.95099,                0.95171,                0.98255,                0.96709,                0.34489,                0.09247,                0.00114,                0.28133,                  0.902,              0.0096535,              0.0096535,              0.0096535
                      9,                0.51883,                0.16286,                0.06281,                0.39696,                0.96816,                0.95329,                0.95403,                0.98459,                0.94116,                0.95321,                0.95394,                0.98451,                0.96919,                0.33979,                0.08946,                0.00101,                0.27442,                0.89723,               0.009604,               0.009604,               0.009604
                     10,                0.50973,                0.16069,                0.06162,                0.38761,                 0.9652,                0.95757,                0.95197,                0.98337,                 0.9447,                0.95755,                0.95195,                0.98338,                 0.9694,                0.32444,                0.08519,                0.00098,                0.26576,                0.89055,              0.0095545,              0.0095545,              0.0095545
                     11,                0.49735,                0.15438,                0.06038,                0.37979,                0.95704,                0.95386,                0.95393,                0.98472,                0.94747,                 0.9535,                0.95394,                0.98463,                0.97201,                0.32041,                0.08296,                0.00093,                0.26012,                 0.8869,               0.009505,               0.009505,               0.009505
                     12,                0.49074,                 0.1505,                0.05945,                0.37521,                0.95504,                0.95322,                0.95688,                0.98569,                0.94926,                0.95332,                0.95671,                0.98559,                0.97322,                0.31421,                 0.0795,                0.00092,                0.25411,                0.88262,              0.0094555,              0.0094555,              0.0094555
                     13,                0.48063,                0.14508,                0.05737,                0.36605,                0.94845,                0.95651,                0.95376,                0.98505,                0.95017,                 0.9564,                0.95366,                0.98504,                0.97356,                0.31274,                0.07636,                0.00075,                0.25143,                0.88012,               0.009406,               0.009406,               0.009406
                     14,                0.47459,                 0.1432,                0.05718,                0.36219,                  0.945,                 0.9585,                0.95512,                0.98551,                0.95319,                0.95829,                0.95491,                0.98544,                0.97448,                0.30441,                0.07462,                0.00077,                0.24661,                0.87585,              0.0093565,              0.0093565,              0.0093565
                     15,                 0.4696,                0.13976,                0.05605,                0.35887,                0.94215,                0.95426,                0.95976,                0.98626,                0.95382,                0.95399,                0.95949,                0.98611,                0.97481,                0.30207,                0.07425,                 0.0007,                0.24362,                 0.8741,               0.009307,               0.009307,               0.009307
                     16,                0.46577,                0.13889,                0.05665,                0.35579,                0.94107,                0.95696,                0.95705,                0.98639,                0.95519,                0.95688,                  0.957,                0.98633,                0.97508,                0.29902,                0.07313,                0.00073,                0.24142,                0.87225,              0.0092575,              0.0092575,              0.0092575
                     17,                0.46063,                 0.1358,                0.05554,                0.35114,                0.93914,                0.95792,                0.95792,                0.98673,                0.95581,                0.95764,                0.95765,                0.98661,                0.97596,                0.29781,                0.07105,                0.00072,                0.23834,                0.87062,               0.009208,               0.009208,               0.009208
                     18,                0.45683,                0.13505,                0.05485,                0.34912,                0.93781,                0.95754,                0.96013,                0.98606,                0.95691,                0.95729,                0.95988,                0.98593,                0.97567,                0.29037,                0.06882,                0.00069,                 0.2346,                0.86758,              0.0091585,              0.0091585,              0.0091585
