                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.051,                 3.2534,                0.53789,                0.62469,                 1.2256,                0.76122,                      1,                0.78659,                0.48086,                0.76122,                      1,                0.78659,                0.26461,                 1.5727,                 2.1814,                0.55812,                 1.4497,                 1.2728,                0.09604,                  4e-05,                  4e-05
                      1,                0.96285,                 3.1626,                0.57011,                0.50734,                 1.2008,                0.76385,                      1,                0.79118,                0.49569,                0.76385,                      1,                0.79118,                0.38188,                 1.4769,                 1.9627,                0.54066,                 1.2477,                 1.3019,                0.09109,             8.9822e-05,             8.9822e-05
                      2,                0.91146,                 2.4227,                0.53511,                0.37475,                 1.1385,                0.76568,                      1,                0.78985,                0.54447,                0.76568,                      1,                0.78985,                0.40485,                  1.237,                 1.5803,                0.50871,                0.96388,                 1.2724,               0.086139,             0.00013945,             0.00013945
                      3,                0.82364,                 1.9928,                0.51004,                0.32359,                 1.0683,                0.76679,                      1,                0.78047,                0.55808,                0.76679,                      1,                0.78047,                0.38389,                 1.1239,                 1.3242,                0.49029,                0.86921,                 1.2362,               0.081189,             0.00018887,             0.00018887
                      4,                0.76245,                 1.9755,                0.50818,                0.28084,                 1.0332,                0.76725,                      1,                0.77577,                0.61574,                0.76725,                      1,                0.77577,                0.44826,                0.95456,                 1.1663,                0.47108,                0.79471,                 1.1429,               0.076238,              0.0002381,              0.0002381
                      5,                0.78385,                 1.7902,                 0.4827,                0.27554,                 1.0433,                0.76742,                      1,                0.78985,                0.66031,                0.76742,                      1,                0.78985,                0.44309,                0.80057,                 1.1163,                0.45678,                0.72272,                 1.0505,               0.071287,             0.00028713,             0.00028713
                      6,                0.65857,                 1.8039,                0.50359,                0.24618,                0.97265,                0.76755,                      1,                0.80448,                0.68754,                0.76755,                      1,                0.80448,                0.42503,                0.65353,                 1.0681,                0.43545,                0.65585,                0.96493,               0.066336,             0.00033596,             0.00033596
                      7,                0.67979,                 1.7154,                0.46365,                0.25306,                0.97885,                0.76756,                      1,                0.80365,                0.68964,                0.76756,                      1,                0.80365,                0.42272,                0.65155,                  1.036,                0.42281,                0.65877,                0.96032,               0.061385,             0.00038459,             0.00038459
                      8,                  0.657,                 1.4652,                0.43182,                0.25085,                0.96809,                0.76756,                      1,                0.79517,                 0.6833,                0.76756,                      1,                0.79517,                0.41461,                0.61989,                0.98365,                0.40459,                0.62334,                0.94825,               0.056433,             0.00043303,             0.00043303
                      9,                0.64334,                 1.5075,                0.44159,                 0.2695,                0.92276,                0.76744,                      1,                0.79002,                0.68002,                0.72907,                   0.95,                0.74705,                0.41168,                0.60258,                0.93881,                0.39306,                0.61648,                0.94879,               0.051481,             0.00048127,             0.00048127
                     10,                0.55391,                 1.3402,                0.41145,                0.21871,                0.89079,                0.76745,                      1,                0.79808,                0.69812,                0.76745,                      1,                0.79808,                0.45579,                0.59737,                0.88953,                0.38131,                0.61768,                0.96124,               0.046529,             0.00052931,             0.00052931
                     11,                0.52893,                 1.1956,                0.39447,                0.22218,                 0.8855,                0.76717,                      1,                0.78985,                0.70499,                0.76717,                      1,                0.78985,                0.51926,                0.53828,                0.83458,                0.36875,                0.60407,                 0.9233,               0.041577,             0.00057715,             0.00057715
                     12,                0.58699,                 1.2207,                0.38704,                 0.2353,                0.90087,                0.76714,                      1,                 0.8092,                0.72734,                0.76714,                      1,                 0.8092,                0.55351,                0.48923,                0.81147,                 0.3622,                0.58861,                 0.8918,               0.036625,             0.00062479,             0.00062479
                     13,                 0.5763,                 1.0771,                 0.3834,                0.22127,                0.95466,                0.76709,                      1,                0.79118,                0.72298,                0.76709,                      1,                0.79118,                0.56437,                0.46602,                0.75525,                0.35109,                0.58599,                0.88701,               0.031672,             0.00067224,             0.00067224
                     14,                0.54765,                 1.1735,                0.41436,                0.22448,                0.90524,                0.76636,                      1,                  0.826,                0.75664,                0.76636,                      1,                  0.826,                 0.5906,                0.47116,                  0.697,                0.34027,                0.59872,                0.89665,               0.026719,             0.00071949,             0.00071949
                     15,                 0.5583,                  1.168,                0.39789,                0.21854,                0.92273,                0.76598,                      1,                0.79943,                0.73367,                0.76598,                      1,                0.79943,                0.59274,                0.46494,                0.66542,                0.33533,                0.59999,                0.89682,               0.021767,             0.00076654,             0.00076654
                     16,                0.56894,                0.87641,                0.34861,                0.22876,                0.92272,                0.76689,                      1,                  0.826,                0.76168,                0.76689,                      1,                  0.826,                0.66814,                0.44262,                0.56866,                 0.3243,                0.58302,                0.85809,               0.016813,             0.00081339,             0.00081339
                     17,                0.48674,                0.90004,                0.36591,                0.20066,                0.85736,                 0.7669,                      1,                0.82821,                0.76514,                 0.7669,                      1,                0.82821,                0.67819,                0.43911,                0.53415,                0.32037,                0.58096,                0.85075,                0.01186,             0.00086004,             0.00086004
                     18,                0.61533,                0.90646,                0.38618,                0.26142,                0.97037,                0.76659,                      1,                0.81784,                0.75979,                0.76659,                      1,                0.81784,                0.67489,                0.43945,                0.50428,                0.31753,                0.59313,                0.86483,              0.0069065,              0.0009065,              0.0009065
                     19,                 0.5049,                0.75913,                 0.3757,                0.22312,                 0.8876,                0.76687,                      1,                0.77736,                0.70877,                0.76687,                      1,                0.77736,                0.68995,                0.42865,                0.44504,                0.31078,                0.58367,                0.85246,              0.0019528,             0.00095276,             0.00095276
                     20,                0.55283,                0.71813,                0.39622,                0.23526,                0.88472,                0.76692,                      1,                0.78714,                0.71728,                0.76692,                      1,                0.78714,                0.69211,                0.42035,                0.41693,                0.30776,                0.59209,                0.84855,              0.0009604,              0.0009604,              0.0009604
