                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.3137,                0.09646,                0.04048,                0.24775,                0.87126,                0.96625,                0.96127,                0.98756,                0.97234,                0.96672,                0.95939,                0.98743,                 0.9795,                0.22262,                0.05396,                0.00048,                0.18998,                0.82834,               0.070008,              0.0033324,              0.0033324
                      1,                0.33981,                0.08821,                0.04221,                0.26476,                0.88003,                0.96083,                0.96361,                0.98708,                0.97043,                0.96051,                0.96349,                0.98703,                0.97788,                0.23213,                0.05809,                0.00041,                0.19681,                0.83189,               0.039975,              0.0066328,              0.0066328
                      2,                0.37933,                0.09798,                0.04474,                0.28646,                0.89326,                0.96043,                0.96313,                0.98676,                0.96794,                0.96129,                 0.9612,                0.98674,                0.97714,                0.24914,                0.06108,                0.00044,                0.20693,                0.84087,               0.009909,              0.0099001,              0.0099001
                      3,                0.40581,                0.10886,                0.04799,                 0.3062,                0.90613,                0.96267,                0.96168,                 0.9871,                0.96681,                0.96213,                0.96114,                0.98694,                0.97765,                0.25588,                0.06066,                0.00068,                0.20736,                0.84269,              0.0098515,              0.0098515,              0.0098515
                      4,                0.40308,                0.10996,                0.04751,                0.30729,                0.90558,                0.96466,                0.96147,                0.98744,                0.96866,                0.96445,                0.96126,                0.98741,                0.97908,                0.24349,                0.05597,                 0.0006,                0.20262,                0.83897,              0.0098515,              0.0098515,              0.0098515
                      5,                0.40025,                0.10799,                0.04802,                0.30608,                0.90498,                0.96609,                0.96302,                0.98796,                0.97003,                0.96537,                0.96282,                0.98795,                0.98021,                0.24059,                0.05516,                0.00057,                0.19947,                0.83773,               0.009802,               0.009802,               0.009802
                      6,                 0.3967,                0.10845,                0.04791,                0.30307,                0.90291,                 0.9662,                0.96394,                0.98812,                 0.9704,                0.96578,                0.96353,                0.98803,                0.98093,                0.24171,                0.05225,                0.00058,                 0.1971,                0.83612,              0.0097525,              0.0097525,              0.0097525
                      7,                0.39364,                0.10622,                0.04736,                0.30396,                0.90203,                0.96498,                0.96269,                 0.9881,                0.97067,                0.96497,                0.96238,                0.98806,                0.98071,                0.23719,                0.05187,                0.00051,                0.19573,                0.83558,               0.009703,               0.009703,               0.009703
                      8,                 0.3916,                0.10589,                0.04726,                0.30188,                0.90114,                0.96557,                0.96353,                0.98841,                0.97186,                0.96555,                0.96313,                 0.9884,                0.98111,                0.23128,                0.05104,                0.00048,                0.19247,                0.83268,              0.0096535,              0.0096535,              0.0096535
                      9,                0.38889,                0.10553,                 0.0463,                0.29839,                0.89932,                0.96505,                0.96569,                 0.9887,                0.97238,                0.96504,                0.96488,                0.98872,                0.98179,                0.23131,                0.04981,                0.00047,                0.19104,                0.83228,               0.009604,               0.009604,               0.009604
                     10,                0.38819,                0.10474,                0.04683,                0.29809,                 0.8996,                0.96887,                 0.9615,                0.98872,                0.97264,                0.96885,                0.96129,                 0.9887,                 0.9817,                0.22951,                0.04891,                0.00046,                0.18952,                 0.8313,              0.0095545,              0.0095545,              0.0095545
                     11,                0.38644,                0.10368,                 0.0466,                 0.2988,                0.89949,                0.96646,                0.96424,                0.98872,                0.97301,                0.96637,                0.96393,                 0.9887,                0.98197,                 0.2279,                0.04813,                0.00044,                 0.1885,                0.83065,               0.009505,               0.009505,               0.009505
                     12,                0.38455,                0.10393,                0.04631,                0.29665,                0.89806,                0.96553,                0.96376,                0.98885,                0.97321,                0.96538,                0.96343,                0.98886,                0.98225,                0.22691,                0.04758,                0.00042,                0.18783,                0.82982,              0.0094555,              0.0094555,              0.0094555
                     13,                0.38322,                0.10337,                0.04658,                0.29538,                0.89774,                0.96718,                0.96249,                0.98875,                0.97342,                0.96701,                0.96218,                0.98874,                0.98225,                0.22555,                0.04723,                0.00041,                0.18678,                0.82919,               0.009406,               0.009406,               0.009406
                     14,                0.38251,                0.10263,                0.04675,                 0.2947,                0.89697,                0.96819,                0.96287,                0.98889,                0.97373,                0.96803,                0.96244,                0.98887,                 0.9823,                0.22419,                0.04696,                0.00041,                0.18596,                0.82867,              0.0093565,              0.0093565,              0.0093565
                     15,                0.37999,                0.10176,                0.04597,                0.29329,                0.89578,                0.96782,                0.96306,                0.98891,                0.97387,                0.96753,                0.96277,                0.98889,                0.98248,                0.22371,                0.04674,                0.00041,                0.18549,                0.82844,               0.009307,               0.009307,               0.009307
                     16,                0.37839,                0.10007,                0.04618,                0.29409,                 0.8964,                0.96832,                 0.9626,                0.98888,                0.97402,                0.96809,                0.96233,                0.98887,                 0.9824,                0.22333,                0.04639,                 0.0004,                0.18533,                0.82819,              0.0092575,              0.0092575,              0.0092575
                     17,                0.37873,                0.10113,                0.04599,                 0.2929,                0.89593,                0.96938,                0.96164,                0.98894,                0.97421,                0.96914,                0.96141,                0.98891,                0.98247,                0.22259,                0.04632,                0.00039,                0.18478,                 0.8279,               0.009208,               0.009208,               0.009208
                     18,                0.37498,                0.09971,                0.04548,                0.29048,                0.89381,                0.96813,                  0.963,                0.98911,                0.97434,                0.96793,                0.96278,                0.98909,                0.98266,                0.22228,                0.04623,                0.00039,                0.18432,                 0.8277,              0.0091585,              0.0091585,              0.0091585
